customer_id,segment,country,is_enterprise,acquisition_source,true_signup_date,subscription_id,subscription_start_date,end_date,monthly_price,subscription_status,activated,churned,trial_start,life_cycle_stage,subscription_end_date
C0001,Enterprise,IN,True,organic,2023-01-04,S00001,2023-01-10,,499.0,active,,,,Paid,
C0002,SMB,CA,False,ads,2023-01-12,S00002,2023-01-12,,49.0,active,,,2023-03-28,Paid,
C0003,SMB,IN,False,referral,2023-01-04,S00003,2023-01-08,2023-02-14,149.0,canceled,,,,Churned,2023-02-14
C0004,SMB,CA,False,ads,2023-01-16,S00004,2023-01-21,,149.0,active,,,,Paid,
C0005,Unknown,IN,False,outbound,2023-01-03,S00005,2023-04-03,,99.0,active,,2023-04-21,2023-01-04,Churned,2023-04-21
C0006,SMB,IN,False,referral,2023-01-29,S00006,2023-03-13,,299.0,active,2023-02-02,,2023-01-30,Paid,
C0007,Enterprise,IN,True,outbound,2023-01-01,S00007,2023-01-19,,299.0,active,,,,Paid,
C0008,SMB,US,False,referral,2023-01-19,S00008,2023-01-19,,299.0,active,2023-03-20,,2023-03-15,Paid,
C0009,Enterprise,CA,True,outbound,2023-01-09,S00009,2023-03-13,,99.0,active,,2023-04-21,,Churned,2023-04-21
C0010,Unknown,CA,False,outbound,2023-01-06,S00010,2023-01-11,,79.0,active,,2023-07-04,2023-03-09,Churned,2023-07-04
C0011,SMB,CA,False,referral,2023-02-05,S00011,2023-02-05,2023-04-18,49.0,canceled,,,2023-03-30,Churned,2023-04-18
C0012,Enterprise,CA,True,ads,2023-02-11,,,,,,,,,Signup,
C0013,SMB,AU,False,organic,2023-01-09,S00012,2023-04-01,,49.0,active,,,,Paid,
C0014,SMB,IN,False,outbound,2023-01-07,S00013,2023-01-18,,499.0,active,2023-01-09,,2023-01-08,Paid,
C0015,Enterprise,DE,True,referral,2023-01-11,,,,,,,,,Signup,
C0016,Mid-Market,UK,False,outbound,2023-02-16,S00014,2023-03-06,2023-05-27,79.0,canceled,2023-04-02,,2023-03-31,Churned,2023-05-27
C0017,Enterprise,AU,True,ads,2023-02-12,S00015,2023-02-12,,499.0,active,2023-03-24,,2023-03-23,Paid,
C0018,SMB,CA,False,referral,2023-01-18,S00016,2023-01-18,,49.0,active,,,2023-02-03,Paid,
C0019,Mid-Market,IN,False,referral,2023-03-08,S00018,2023-03-29,2023-05-20,149.0,canceled,,,,Churned,2023-05-20
C0020,Mid-Market,AU,False,organic,2023-01-13,,,,,,2023-01-15,,2023-01-14,Activated,
C0021,Mid-Market,US,False,organic,2023-01-08,S00019,2023-01-17,,99.0,active,,2023-05-07,2023-02-11,Churned,2023-05-07
C0022,Enterprise,US,True,ads,2023-02-08,S00020,2023-03-05,,149.0,active,2023-02-10,,2023-02-09,Paid,
C0023,Enterprise,IN,True,referral,2023-02-18,S00021,2023-02-28,,699.0,active,2023-02-24,,2023-02-19,Paid,
C0024,Unknown,IN,False,ads,2023-01-13,S00022,2023-01-13,,699.0,active,,,,Paid,
C0025,Enterprise,AU,True,ads,2023-02-01,S00023,2023-03-22,,299.0,active,2023-02-19,,2023-02-14,Paid,
